name,description,price,category,image_filename,sizes,stock
Navy Blue Double Breasted ,Bespoke italian tailoring�,110000,suit,daro-brested-navy-suit.jpg,"44,46,48,50,52,54,56,58",5
Ash Stripe Double Brested,Bespoke italian tailoring�,120000,suit,ashstripe-brested-suit.jpg,"44,46,48,50,52,54,56,58",5
Checkers Blue 3pcs ,Bespoke italian tailoring�,130000,suit,checkers-blue-suit.jpg,"44,46,48,50,52,54,56,58",5
Black Stone Double Brested ,Bespoke italian tailoring�,150000,suit,black-stone-brested-suit.jpg,"44,46,48,50,52,54,56,58",5
3Pcs Black Daro,Bespoke italian tailoring�,125000,suit,black-daro-3pcs-suit.jpg,"44,46,48,50,52,54,56,58",5
Black Stripe Double Brested,Bespoke Turkey tailoring�,120000,suit,blackstripe-brested-suit.jpg,"44,46,48,50,52,54,56,58",5
Dotted Blue 3pcs Suit,Bespoke Turkey tailoring�,140000,suit,smith-blue-3pcs-suit.jpg,"44,46,48,50,52,54,56,58",5
Dotted Light Green 3pcs Suit,Bespoke Turkey tailoring�,140000,suit,smith-lightgreen-3pcs-suit.jpg,"44,46,48,50,52,54,56,58",5
Dotted Peach 3pcs Suit,Bespoke Turkey tailoring�,140000,suit,smith-peach-3pcs-suit.jpg,"44,46,48,50,52,54,56,58",5
Clarks Black shoe,Top notch Italian quality�,65000,shoe,clarks-black-bell-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
Clarks Lovas,Top notch Italian quality�,40000,shoe,clarks-lovas-pendent-black-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
Clarks Buckle Shoe,Top notch Italian quality�,65000,shoe,clarks-brown-buckle-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
Clarks Lovas Shoe,Top notch Italian quality�,40000,shoe,clarks-lovas-black-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
Steve Riot Shoe,Top notch Italian quality�,70000,shoe,steve-black-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
Steve Riot ,Top notch Italian quality�,70000,shoe,steve-brown-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
Steve Monstrap ,Top notch Italian quality�,75000,shoe,steve-monstrap-brown.jpg,"38,39,40,41,42,43,44,45,46",5
Tan Shoe,Top notch Italian quality�,65000,shoe,steve-tan-shoe.jpg,"38,39,40,41,42,43,44,45,46",5
